title,release_date,Album,cleaned_lyrics,WordLength
Young Blood,2017-01-26,Busyhead,oh dear oh dear ’ sorry grow soon cold year high school party ’ drinking alone oh ’ drinking alone dont fear ’ fear warning ’ bitterer year drive across country empty seat show ’ drinking alone keep time keep mind keep humble start life middle jungle young young blood rub eye surprised keep hungry stay alive try lose money young young blood young young blood young blood ’ mad reason everything start overthinking ’ drinking home oh ’ drinking home see noah kahan liveget ticket low might also like keep time keep mind keep humble start life middle jungle young young blood rub eye surprised keep hungry stay alive try lose money young young blood young young blood young blood want could tell truth life take toll spend night stitch loose thread soul morning ’ bullet proof want could tell truth life take toll spend night stitch loose thread soul morning ’ bullet proof morning ’ bullet proof keep time keep mind keep humble start life middle jungle young young blood rub eye surprised keep hungry stay alive try lose money young young blood young young blood young young blood young bloodembed oh dear oh dear ’ sorry grow soon cold year high school party ’ drinking alone oh ’ drinking alone dont fear ’ fear warning ’ bitterer year drive across country empty seat show ’ drinking alone keep time keep mind keep humble start life middle jungle young young blood rub eye surprised keep hungry stay alive try lose money young young blood young young blood young blood ’ mad reason everything start overthinking ’ drinking home oh ’ drinking home keep time keep mind keep humble start life middle jungle young young blood rub eye surprised keep hungry stay alive try lose money young young blood young young blood young blood want could tell truth life take toll spend night stitch loose thread soul morning ’ bullet proof want could tell truth life take toll spend night stitch loose thread soul morning ’ bullet proof morning ’ bullet proof keep time keep mind keep humble start life middle jungle young young blood rub eye surprised keep hungry stay alive try lose money young young blood young young blood young young blood young blood,2142
Maine,2020-05-01,Cape Elizabeth - EP,tell lover make change soul rediscover heart rearrange still take pill morning lose longing walk ocean town cause town ocean dont hate summer youre afraid space ask stranger answer forget say boat beside dock sunlight nothing water sunrise lack open mouth cause town ocean bad ill miss place head heart dad still tell theyre play song laugh way would say baby camera traffic light theyd make star theyd make star see noah kahan liveget ticket low might also like wan na go maine mmm wan na go maine oh bad ill miss place head heart dad still tell theyre play song laugh way would say baby camera traffic light theyd make star theyd make star wan na go maine wan na go maine god tell lover youve change heart cause fossil crescent beach state park use sing along church bell sunday even hear em subway hope make proud cause town ocean nowembed tell lover make change soul rediscover heart rearrange still take pill morning lose longing walk ocean town cause town ocean dont hate summer youre afraid space ask stranger answer forget say boat beside dock sunlight nothing water sunrise lack open mouth cause town ocean bad ill miss place head heart dad still tell theyre play song laugh way would say baby camera traffic light theyd make star theyd make star wan na go maine mmm wan na go maine oh bad ill miss place head heart dad still tell theyre play song laugh way would say baby camera traffic light theyd make star theyd make star wan na go maine wan na go maine god tell lover youve change heart cause fossil crescent beach state park use sing along church bell sunday even hear em subway hope make proud cause town ocean,1626
Come Over,2022-10-14,Stick Season (Forever),im business losin interest turn profit time speak dont know coffin bury garden get leave house design kinda look like cryin eye window garage mouth mention thе sad kid sad house balch street wont guess thеy speakin come come im process clearin cobweb takin wrong med feel good sad house barely big enough family feel like fortress weather get bad mouth design foot fit oh word go missin stock market crashed dow jones keep fallin promise darlin view morning wont ever go back come come come come see noah kahan liveget ticket low might also like know aint much know aint cool oh dont tell kid school dadll strike rich well big house block someday im gon na somebody people want im business losin interest turn profit time speak dont know coffin bury garden get leaveembed im business losin interest turn profit time speak dont know coffin bury garden get leave house design kinda look like cryin eye window garage mouth mention thе sad kid sad house balch street wont guess thеy speakin come come im process clearin cobweb takin wrong med feel good sad house barely big enough family feel like fortress weather get bad mouth design foot fit oh word go missin stock market crashed dow jones keep fallin promise darlin view morning wont ever go back come come come come know aint much know aint cool oh dont tell kid school dadll strike rich well big house block someday im gon na somebody people want im business losin interest turn profit time speak dont know coffin bury garden get leave,1488
The Great Divide,,NK4*,cant recall last time talk anything look cop get cigarette burn side hand aint friend moron broke skin spot ive never see take turn wide im high enough still care die well try read thought youd work overtime stop say fuck say nothing know think time deep misundеrstanding life bad must back hard keep insidе hope settle hope marry rich hope youre scar ordinary shit like murderer ghost cancer skin soul might inched across great divide drove aimlessly along twin state line heard nothing bass every ballad youd play swore god singer read mind world scar hesitate thing yeah shoot bird sing im finally aware shitty unfair stare ahead like everything fine see noah kahan liveget ticket low might also like ooh know think time ooh deep misunderstand life ooh bad must back ooh hard keep inside ooh hope settle hope marry rich ahh ooh hope youre scar ordinary shit ahah ooh like murderer ghost cancer skin ahah ooh soul might ahah mmmmmmmm mmmmmm rage dont wish could know place wasnt brave enough go hope settle hope marry rich hope youre scar ordinary shit like murderer ghost cancer skin soul might ahah hope threw brick right stainedglass hope youre someone isnt scar ask hope youre lose sleep whats next soul might itembed cant recall last time talk anything look cop get cigarette burn side hand aint friend moron broke skin spot ive never see take turn wide im high enough still care die well try read thought youd work overtime stop say fuck say nothing know think time deep misundеrstanding life bad must back hard keep insidе hope settle hope marry rich hope youre scar ordinary shit like murderer ghost cancer skin soul might inched across great divide drove aimlessly along twin state line heard nothing bass every ballad youd play swore god singer read mind world scar hesitate thing yeah shoot bird sing im finally aware shitty unfair stare ahead like everything fine ooh know think time ooh deep misunderstand life ooh bad must back ooh hard keep inside ooh hope settle hope marry rich ahh ooh hope youre scar ordinary shit ahah ooh like murderer ghost cancer skin ahah ooh soul might ahah mmmmmmmm mmmmmm rage dont wish could know place wasnt brave enough go hope settle hope marry rich hope youre scar ordinary shit like murderer ghost cancer skin soul might ahah hope threw brick right stainedglass hope youre someone isnt scar ask hope youre lose sleep whats next soul might,2389
Carlo’s Song,2019-06-14,Busyhead,remember drinking parking lot trailhead see moment morning come waste listen good die young laugh statement walk direction get lose angst impatience find look escape skin know place dream light come hope know grow hair long sister fine keep burning bridge keep alive woooooo woooo oooooooo woo remember look fire tower sunset jack white prophetic speaker go friend yeah guess get busy saw every weekend lord move city hop noise drowns regret see noah kahan liveget ticket low might also like find look escape skin know place dream light come hope know grow hair long sister fine keep burning bridge keep alive woooooo keep alive woooo oooooooo woo tell grief love let go say like milk spill floor say dont know anymore well never show anger still havent found im look escape sin know place dream light come ill keep grow hair long cover eye ill keep play goddamn song keep alive woooooo keep alive woooo oooooooo woo wan na keep aliveembed remember drinking parking lot trailhead see moment morning come waste listen good die young laugh statement walk direction get lose angst impatience find look escape skin know place dream light come hope know grow hair long sister fine keep burning bridge keep alive woooooo woooo oooooooo woo remember look fire tower sunset jack white prophetic speaker go friend yeah guess get busy saw every weekend lord move city hop noise drowns regret find look escape skin know place dream light come hope know grow hair long sister fine keep burning bridge keep alive woooooo keep alive woooo oooooooo woo tell grief love let go say like milk spill floor say dont know anymore well never show anger still havent found im look escape sin know place dream light come ill keep grow hair long cover eye ill keep play goddamn song keep alive woooooo keep alive woooo oooooooo woo wan na keep alive,1824
Mess,2019-03-01,Busyhead,could give back would home morning id wake cold sweat take flight back city born would wipe clean knew unimportant id want typical thing id try fit back old clothing would prove wrong along problem bitterness go happy id ill move back home forever ill feed dog ill put piece back together belong ill say im mess im mess oh god im mess ill take boston see love ill help set new apartment well get drunk shell say shit youre mess youre mess good god youre mess oh youre mess youre mess good god see noah kahan liveget ticket low might also like paid debt found world boring call old friend ever ask tour still weight back try ignore guess stage mask forgot way look wore would prove wrong along problem bitterness go happy ill ill move back home forever ill feed dog ill put piece back together belong ill say im mess im mess oh god im mess ill take boston see love ill help set new apartment well get drunk shell say shit youre mess youre mess good god youre mess oh youre mess youre mess thats hop find comfort cold ill move back home forever ill feed dog ill put piece back together belong ill say im mess im mess oh god im mess ill take boston see love ill help set new apartment well get drunk shell say shit youre mess youre mess good god youre mess oh youre mess youre mess good godembed could give back would home morning id wake cold sweat take flight back city born would wipe clean knew unimportant id want typical thing id try fit back old clothing would prove wrong along problem bitterness go happy id ill move back home forever ill feed dog ill put piece back together belong ill say im mess im mess oh god im mess ill take boston see love ill help set new apartment well get drunk shell say shit youre mess youre mess good god youre mess oh youre mess youre mess good god paid debt found world boring call old friend ever ask tour still weight back try ignore guess stage mask forgot way look wore would prove wrong along problem bitterness go happy ill ill move back home forever ill feed dog ill put piece back together belong ill say im mess im mess oh god im mess ill take boston see love ill help set new apartment well get drunk shell say shit youre mess youre mess good god youre mess oh youre mess youre mess thats hop find comfort cold ill move back home forever ill feed dog ill put piece back together belong ill say im mess im mess oh god im mess ill take boston see love ill help set new apartment well get drunk shell say shit youre mess youre mess good god youre mess oh youre mess youre mess good god,2530
Passenger,2018-01-12,Hurt Somebody - EP,oh think ive found way keep whole write fear green note swallow doubt away watch grow old past year seem slow take heart soul pick apart look inside inside fill dream cant hold keep afloat cold world cold world tell wont hurt im passenger old wont work im passenger im passenger im passenger im passenger im passenger oh think ive found way keep hand full spend long night oh question selfcontrol see noah kahan liveget ticket low might also like take heart soul pick apart look inside inside fill dream cant hold keep afloat cold world cold world tell wont hurt im passenger old wont work im passenger im passenger im passenger im passenger im passenger debt owe oh keep useful head held tall cant accept lose make balance cant make whole tell wont hurt im passenger old wont work im passenger im passenger im passenger im passenger im passengerembed oh think ive found way keep whole write fear green note swallow doubt away watch grow old past year seem slow take heart soul pick apart look inside inside fill dream cant hold keep afloat cold world cold world tell wont hurt im passenger old wont work im passenger im passenger im passenger im passenger im passenger oh think ive found way keep hand full spend long night oh question selfcontrol take heart soul pick apart look inside inside fill dream cant hold keep afloat cold world cold world tell wont hurt im passenger old wont work im passenger im passenger im passenger im passenger im passenger debt owe oh keep useful head held tall cant accept lose make balance cant make whole tell wont hurt im passenger old wont work im passenger im passenger im passenger im passenger im passenger,1648
Halloween,2022-10-14,Stick Season (Forever),im sailin away place im afraid dawn isnt sun hasnt rise im drinkin day coastal longshoreman get money make child back home last heard new orleans workin day print drink til drown smoke til im burnin hand scent worry worry fine know wont change collect every dream old empty pocket hope ill need day wreckage longer reside bridge long since burnt ash home start fire start return earth im leavin town im changin address know youll come want halloween ghost dress sure know haunt yes know haunt mmhmmmm see noah kahan liveget ticket low might also like ode hole found stuck song grave dug murder crow low light boston see face one im losin tiniest object im seein life screen im hearin voice strange foreign language learn speak wreckage longer reside bridge long since burn ash home start fire start return earth im leavin town im changin address know youll come want halloween ghost dress sure know haunt yeah know haunt mmhmmmm ahooh ooh know haunt know haunt mmhmmmm ahooh ooh mmhmmmm ahooh ooh ooh ah ooh mmhmmmm ahoohooh oohooh know fear im wicked weary know ’ fearin end tell truth im sure im lyin im settin sail againembed im sailin away place im afraid dawn isnt sun hasnt rise im drinkin day coastal longshoreman get money make child back home last heard new orleans workin day print drink til drown smoke til im burnin hand scent worry worry fine know wont change collect every dream old empty pocket hope ill need day wreckage longer reside bridge long since burnt ash home start fire start return earth im leavin town im changin address know youll come want halloween ghost dress sure know haunt yes know haunt mmhmmmm ode hole found stuck song grave dug murder crow low light boston see face one im losin tiniest object im seein life screen im hearin voice strange foreign language learn speak wreckage longer reside bridge long since burn ash home start fire start return earth im leavin town im changin address know youll come want halloween ghost dress sure know haunt yeah know haunt mmhmmmm ahooh ooh know haunt know haunt mmhmmmm ahooh ooh mmhmmmm ahooh ooh ooh ah ooh mmhmmmm ahoohooh oohooh know fear im wicked weary know ’ fearin end tell truth im sure im lyin im settin sail,2196
Sink,2017-05-05,Busyhead,oh hate say goodbye say goodnight go stop look behind ill sink oh sleep one eye close tell shes alone oh yeah summer come go ill sink oh shes sunset west oh sleep need rest though ship save yet oh would never sink oh would never sink oh promise write know harder try grown tell lie ill sink time slows let talk alone high hope dont last long wind road never seem stop ill sink see noah kahan liveget ticket low might also like oh shes sunset west oh sleep need rest though ship save yet oh would never sink oh would never sink oh would never sink oh would never sink oh would never sink oh would never sink oh shes path tread oh shes shiver neck oh shes blood rush head oh would never sink oh would never sink againembed oh hate say goodbye say goodnight go stop look behind ill sink oh sleep one eye close tell shes alone oh yeah summer come go ill sink oh shes sunset west oh sleep need rest though ship save yet oh would never sink oh would never sink oh promise write know harder try grown tell lie ill sink time slows let talk alone high hope dont last long wind road never seem stop ill sink oh shes sunset west oh sleep need rest though ship save yet oh would never sink oh would never sink oh would never sink oh would never sink oh would never sink oh would never sink oh shes path tread oh shes shiver neck oh shes blood rush head oh would never sink oh would never sink,1380
Anyway,2020-05-01,Cape Elizabeth - EP,dirt heel youve make mess carpark high head honey dont worry nobody angry darling patient stare vacancy take deep breath like youre tire youre someone else dont speak time find word inside honey dont worry ill laundry cover dirt darling patient easy break beneath weight earth say always ill wait sharp glass break ill light cant make ill eye face cause darling get scar im busy anyway today look old hair face fill space teeth fall get exhaust gotten sleep say sorry hadnt call week say see noah kahan liveget ticket low might also like always ill wait sharp glass break ill light cant make ill eye face cause darling get scar im busy anyway hope aint last world left coat something wear cold weather hope aint last world left coat something wear cold weather hope aint last world left coat something wear cold weather oh hope aint last world left coat something wear cold weather know well say always ill wait sharp glass break ill light cant make ill eye youll face darling get scar im busy anywayembed dirt heel youve make mess carpark high head honey dont worry nobody angry darling patient stare vacancy take deep breath like youre tire youre someone else dont speak time find word inside honey dont worry ill laundry cover dirt darling patient easy break beneath weight earth say always ill wait sharp glass break ill light cant make ill eye face cause darling get scar im busy anyway today look old hair face fill space teeth fall get exhaust gotten sleep say sorry hadnt call week say always ill wait sharp glass break ill light cant make ill eye face cause darling get scar im busy anyway hope aint last world left coat something wear cold weather hope aint last world left coat something wear cold weather hope aint last world left coat something wear cold weather oh hope aint last world left coat something wear cold weather know well say always ill wait sharp glass break ill light cant make ill eye youll face darling get scar im busy anyway,1956
Glue Myself Shut,2020-05-01,Cape Elizabeth - EP,use scar water youre safe side father sense world lay little home harbor youve always felt small city think last fall old clothes still hall building never ask never ask put thing drinking much red wine oh youd wear thin accept every sin glue shut would find way gamble soul summer rattle bone thunder watch every sunset get sick youve always say fall season everyones reason stare packed bag ask hell meaning see noah kahan liveget ticket low might also like never ask never ask put thing drinking much red wine oh youd wear thin accept every sin glue shut would find way feel real rain heart heal break stare tree line notice leaf arent change wind blow cape elizabeth constant cold live love deadline spend rest life fuckin miss never ask never ask put thing drinking much red wine oh youd wear thin accept every sin glue shut would find way inembed use scar water youre safe side father sense world lay little home harbor youve always felt small city think last fall old clothes still hall building never ask never ask put thing drinking much red wine oh youd wear thin accept every sin glue shut would find way gamble soul summer rattle bone thunder watch every sunset get sick youve always say fall season everyones reason stare packed bag ask hell meaning never ask never ask put thing drinking much red wine oh youd wear thin accept every sin glue shut would find way feel real rain heart heal break stare tree line notice leaf arent change wind blow cape elizabeth constant cold live love deadline spend rest life fuckin miss never ask never ask put thing drinking much red wine oh youd wear thin accept every sin glue shut would find way,1647
Please,2018-01-12,Hurt Somebody - EP,stare headlight till get head right dog stop howl porch head ocean im get homesick place ive never know keep laugh im stuck traffic metaphor ive become maybe im restless manic depressive maybe need someone maybe please give something pain cause heart softens name youre go come undone youre go come im weak walk wire pull teeth im tire chase dream need someone wake need someone wake remember even show cat stevens fill room father son two minute emotion four hour im frozen fear boredom ive ran reason pick piece try recall maybe im desperate manic depressive maybe need someone maybe see noah kahan liveget ticket low might also likeso please give something pain cause heart softens name youre go come undone youre go come im weak walk wire pull teeth im tire chase dream need someone wake need someone wake want oh god want see state want fill sleep haunt see mess youve make youve make want dream use wide awake want believe havent lose drive insane insane please give something pain cause heart softens name youre go come undone youre go come im weak walk wire pull teeth im tire chase dream need someone wake need someone wake upembed stare headlight till get head right dog stop howl porch head ocean im get homesick place ive never know keep laugh im stuck traffic metaphor ive become maybe im restless manic depressive maybe need someone maybe please give something pain cause heart softens name youre go come undone youre go come im weak walk wire pull teeth im tire chase dream need someone wake need someone wake remember even show cat stevens fill room father son two minute emotion four hour im frozen fear boredom ive ran reason pick piece try recall maybe im desperate manic depressive maybe need someone maybe please give something pain cause heart softens name youre go come undone youre go come im weak walk wire pull teeth im tire chase dream need someone wake need someone wake want oh god want see state want fill sleep haunt see mess youve make youve make want dream use wide awake want believe havent lose drive insane insane please give something pain cause heart softens name youre go come undone youre go come im weak walk wire pull teeth im tire chase dream need someone wake need someone wake,2221
Still,2022-10-14,Stick Season (Forever),dont dont dont want say goodbye dont dont dont want say goodbye fall place youre fall piece find love last til lose reason sayin god im alive whole place quiet miss something cant place cant deny dont know whether want place coast country cant stay hard face feel ugly light fire inside let burn stare starless sky say like im still like im still dont dont dont want say goodbye past come back light morning look like patient surgery use watch mother move like god room bottomless hole ive found trace one grab past box photo rip open im bed im wonder im callous hop fix broken see noah kahan liveget ticket low might also like like im still like im still dont dont dont want say goodbye like im still like im still dont dont dont want say goodbye ohoh like im still like im still dont dont dont want say goodbye dont dont dont want say dont dont dont want say dont dont dont want say goodbye dont dont dont want say dont dont dont want say dont dont dont want say goodbye fall place youre fall piece find love last lose reason say god im alive whole place quiet miss something cant place cant deny itembed dont dont dont want say goodbye dont dont dont want say goodbye fall place youre fall piece find love last til lose reason sayin god im alive whole place quiet miss something cant place cant deny dont know whether want place coast country cant stay hard face feel ugly light fire inside let burn stare starless sky say like im still like im still dont dont dont want say goodbye past come back light morning look like patient surgery use watch mother move like god room bottomless hole ive found trace one grab past box photo rip open im bed im wonder im callous hop fix broken like im still like im still dont dont dont want say goodbye like im still like im still dont dont dont want say goodbye ohoh like im still like im still dont dont dont want say goodbye dont dont dont want say dont dont dont want say dont dont dont want say goodbye dont dont dont want say dont dont dont want say dont dont dont want say goodbye fall place youre fall piece find love last lose reason say god im alive whole place quiet miss something cant place cant deny,2155
Godlight,2021-06-30,I Was / I Am,way angry crowd without steppin toe theyll scream name til light go theyll feed wolf hard say youll let big red curtain close know cause told bet forgot black heel summertime dad bad cookin though youd polite honey get look dont recognize pull aside say know hate hate ive become watch im fallin laddеrs last rung feel like secret cant keep im thе way im way mm mmmmmm hmmmm mm freed within leave skin tether doubt breathe til medicine live without cause come back home fuckin alien stuck ground call mom back kid high come see noah kahan liveget ticket low might also like cause forgot black heel summertime dirt road smoking friday night honey get look dont recognize pull aside say know hate hate ive become watch im fallin ladder last rung feel like secret cant keep im way im way feel see look eye breathe good grace godlight hand one thing want life mine hole cant fill curse cant break give soul reclaim young young young know hate hate ive become watch im fallin ladder last rung feel like secret cant keep im way im way feel see look eye breathe good grace godlight hand one thing want life mine feel see look eye breathe good grace godlight hand one thing want life mineembed way angry crowd without steppin toe theyll scream name til light go theyll feed wolf hard say youll let big red curtain close know cause told bet forgot black heel summertime dad bad cookin though youd polite honey get look dont recognize pull aside say know hate hate ive become watch im fallin laddеrs last rung feel like secret cant keep im thе way im way mm mmmmmm hmmmm mm freed within leave skin tether doubt breathe til medicine live without cause come back home fuckin alien stuck ground call mom back kid high come cause forgot black heel summertime dirt road smoking friday night honey get look dont recognize pull aside say know hate hate ive become watch im fallin ladder last rung feel like secret cant keep im way im way feel see look eye breathe good grace godlight hand one thing want life mine hole cant fill curse cant break give soul reclaim young young young know hate hate ive become watch im fallin ladder last rung feel like secret cant keep im way im way feel see look eye breathe good grace godlight hand one thing want life mine feel see look eye breathe good grace godlight hand one thing want life mine,2316
Catastrophize,2018-01-12,Hurt Somebody - EP,thought take may breathe deep lord hold strong old loss come meet keep finger cross keep knee weak fragile thing may remember past hang old way let pity laugh joke tell bad taste friend think im funny sad way know speak oh god sit wait time change luck open blind oh dont know dont know youre last thing mind oh catastrophize oh catastrophize let see world kindness dad eye let every photograph take bad side world see face theyll never ask look way let soul thing guide ill tour world hope anger dy behind fail blame bad timing ill love nothing lose see noah kahan liveget ticket low might also likeoh god sit wait time change luck open blind oh dont know dont know youre last thing mind oh catastrophize oh catastrophize oh god sit wait time change luck open blind oh dont know dont know youre last thing mind oh catastrophize oh catastrophize oh god sit wait time change luck open blind oh dont know dont know youre last thing mind oh catastrophize oh catastrophizeembed thought take may breathe deep lord hold strong old loss come meet keep finger cross keep knee weak fragile thing may remember past hang old way let pity laugh joke tell bad taste friend think im funny sad way know speak oh god sit wait time change luck open blind oh dont know dont know youre last thing mind oh catastrophize oh catastrophize let see world kindness dad eye let every photograph take bad side world see face theyll never ask look way let soul thing guide ill tour world hope anger dy behind fail blame bad timing ill love nothing lose oh god sit wait time change luck open blind oh dont know dont know youre last thing mind oh catastrophize oh catastrophize oh god sit wait time change luck open blind oh dont know dont know youre last thing mind oh catastrophize oh catastrophize oh god sit wait time change luck open blind oh dont know dont know youre last thing mind oh catastrophize oh catastrophize,1893
Part of Me,2021-05-14,I Was / I Am,think forgot thing ive good alive could stay grateful sun though get eye salt lake city dear feel cause let heart get fill someone elses love youve let head get held someone elses arm die tomorrow babe would feel feel cause little bit light minutе time dont miss miss way make mе feel like lose part space body disappear even pain cant recall face ache know everything gon na change get close love dear dont miss miss way make feel see noah kahan liveget ticket low might also like something air drove parent car fire knew couldnt bring start scream word inside head hop youd feel feel cause little bit light minute time dont miss miss way make feel like lose part space body disappear even pain cant recall face ache know everything gon na change get close love dear dont miss miss way make feel know moment chase race ive already lose long ago break fear alone im sure feel ache well nothing feel like lose part space body disappear even pain cant recall face ache know everything gon na change get close love dear dont miss miss way make feelembed think forgot thing ive good alive could stay grateful sun though get eye salt lake city dear feel cause let heart get fill someone elses love youve let head get held someone elses arm die tomorrow babe would feel feel cause little bit light minutе time dont miss miss way make mе feel like lose part space body disappear even pain cant recall face ache know everything gon na change get close love dear dont miss miss way make feel something air drove parent car fire knew couldnt bring start scream word inside head hop youd feel feel cause little bit light minute time dont miss miss way make feel like lose part space body disappear even pain cant recall face ache know everything gon na change get close love dear dont miss miss way make feel know moment chase race ive already lose long ago break fear alone im sure feel ache well nothing feel like lose part space body disappear even pain cant recall face ache know everything gon na change get close love dear dont miss miss way make feel,2046
Howling,2021-09-17,I Was / I Am,begin oh let pretend never met disappear moment try swim hand behind back dear always fear ocean somehow one word mouth thats left unspoken wont admit parent split get sick refuse burden say something keep minute darling find key meaning cause honey sometimes feel emptiness howl something keep minute darling lose mind still look cause dont know feel emptiness howl howl ’ alone world small sick talk find purpose love come go big black dog trail along one know somehow gain pound lose focus suffocate thing slow im black fly circle bullshit ooh see noah kahan liveget ticket low might also like something keep minute darling find key meaning honey sometimes feel emptiness howl something keep minute darling lose mind still look dont know feel emptiness howl howl deep blue deep blue deep blue deep blue begin oh let pretend never met disappear moment ive try swim hand behind back dear always fear ocean somehow one word mouth thats left unspoken say something keep minute darling find key meaning cause honey sometimes feel emptiness howl tell one thing keep minute honey leave whats wait dont know feel emptiness howl howlingembed begin oh let pretend never met disappear moment try swim hand behind back dear always fear ocean somehow one word mouth thats left unspoken wont admit parent split get sick refuse burden say something keep minute darling find key meaning cause honey sometimes feel emptiness howl something keep minute darling lose mind still look cause dont know feel emptiness howl howl ’ alone world small sick talk find purpose love come go big black dog trail along one know somehow gain pound lose focus suffocate thing slow im black fly circle bullshit ooh something keep minute darling find key meaning honey sometimes feel emptiness howl something keep minute darling lose mind still look dont know feel emptiness howl howl deep blue deep blue deep blue deep blue begin oh let pretend never met disappear moment ive try swim hand behind back dear always fear ocean somehow one word mouth thats left unspoken say something keep minute darling find key meaning cause honey sometimes feel emptiness howl tell one thing keep minute honey leave whats wait dont know feel emptiness howl howl,2213
Hold it Down,2017-03-24,,im spin circle im straight outta line every excuse im fall behind watch self destruct right time built every wall ive climb real life aint nothing anger doubt failure stranger dream hold hold tell doubt im comin home put failure phone hold let go oohooh gamble soul without know stake im fill hole falsehood shame guilty skin turn stone lord im man sin know real life aint nothing anger doubt failure stranger dream see noah kahan liveget ticket low might also like hold hold tell doubt im comin home put failure phone cause real life aint nothing anger doubt failure stranger allve dream hold im look answer lose head reach darkness take get hold hold hold hold hold tell doubt im comin home put failure phone hold let goembed im spin circle im straight outta line every excuse im fall behind watch self destruct right time built every wall ive climb real life aint nothing anger doubt failure stranger dream hold hold tell doubt im comin home put failure phone hold let go oohooh gamble soul without know stake im fill hole falsehood shame guilty skin turn stone lord im man sin know real life aint nothing anger doubt failure stranger dream hold hold tell doubt im comin home put failure phone cause real life aint nothing anger doubt failure stranger allve dream hold im look answer lose head reach darkness take get hold hold hold hold hold tell doubt im comin home put failure phone hold let go,1400
Busyhead,2019-06-13,Busyhead,youre weak surface speak ’ nervous wrong word seem right head cant stand space bed shake darkness break like artist big plan small next day cant wait throw away perseverate truth might million mile away hide secret disguise weakness lose inside busyhead burn bridge leave witness alone inside busyhead busyhead sleep moment dream like poet good grace like fade tattoo spend day wait bad news see noah kahan liveget ticket low might also like perseverate truth might million mile away hide secret disguise weakness lose inside busyhead burn bridge leave witness alone inside busyhead go nowhere fast enough tell lie give alibi ’ go lately stand upon peace mind youre bound fall take time cause wait stare abyss find home edge define presence size message move along dark wonder youll proud weakness busyhead keep breathing oh oh busyhead keep breathing oh busyhead hide secret disguise weakness lose inside busyhead burn bridge leave witness alone inside busyhead youre alone inside busyhead youre alone inside busyhead busyheadembed youre weak surface speak ’ nervous wrong word seem right head cant stand space bed shake darkness break like artist big plan small next day cant wait throw away perseverate truth might million mile away hide secret disguise weakness lose inside busyhead burn bridge leave witness alone inside busyhead busyhead sleep moment dream like poet good grace like fade tattoo spend day wait bad news perseverate truth might million mile away hide secret disguise weakness lose inside busyhead burn bridge leave witness alone inside busyhead go nowhere fast enough tell lie give alibi ’ go lately stand upon peace mind youre bound fall take time cause wait stare abyss find home edge define presence size message move along dark wonder youll proud weakness busyhead keep breathing oh oh busyhead keep breathing oh busyhead hide secret disguise weakness lose inside busyhead burn bridge leave witness alone inside busyhead youre alone inside busyhead youre alone inside busyhead busyhead,2010
If We Were Vampires,2023-05-10,Spotify Singles,long flow dress youre light come skin fragile heart youve protect long mercy sense right wrong hand search slow dark nail leave love watermark way talk roof question like direction truth know cant go forever likely one u spend day alone maybe well get forty year together one day ill gonе one day youll go wе vampire death joke wed go sidewalk smoke laugh lover plan wouldnt feel need hold hand maybe time run gift ill work hard til end shift give every second find hope isnt left behind see noah kahan liveget ticket low might also like know cant go forever likely one u spend day alone maybe well get forty year together one day ill go one day youll go know cant go forever likely one u spend day alone maybe well get forty year together one day ill go one day youll go know cant go forever likely one u spend day alone maybe well get forty year together one day ill go one day youll goneembed long flow dress youre light come skin fragile heart youve protect long mercy sense right wrong hand search slow dark nail leave love watermark way talk roof question like direction truth know cant go forever likely one u spend day alone maybe well get forty year together one day ill gonе one day youll go wе vampire death joke wed go sidewalk smoke laugh lover plan wouldnt feel need hold hand maybe time run gift ill work hard til end shift give every second find hope isnt left behind know cant go forever likely one u spend day alone maybe well get forty year together one day ill go one day youll go know cant go forever likely one u spend day alone maybe well get forty year together one day ill go one day youll go know cant go forever likely one u spend day alone maybe well get forty year together one day ill go one day youll go,1734
Fine,2017-07-21,,im sailor swim backwards im fish sea im preacher graveyard tell everyone god follow im liar get lucky aint different rest might jade delusional least found home inside head dream believe doubt mind wild wild world live wont let anyone tell wont survive ill fine ill fine miss permanence failure miss honesty pain sever tie anger guess world well blame see noah kahan liveget ticket low might also like dream believe doubt mind wild wild world live wont let anyone tell wont survive ill fine ill fine ill fine ill fine ill fine point finger like gun aint sweet someone take last breath mend fall cause lie believe doubt mind last damn thing hold close wont let anyone wrong tell whats right dream believe doubt mind wild wild world living wont let anyone wrong tell whats right ill fine ill fine ill fine wont let anyone tell wont survive wont let anyone tell aint fineembed im sailor swim backwards im fish sea im preacher graveyard tell everyone god follow im liar get lucky aint different rest might jade delusional least found home inside head dream believe doubt mind wild wild world live wont let anyone tell wont survive ill fine ill fine miss permanence failure miss honesty pain sever tie anger guess world well blame dream believe doubt mind wild wild world live wont let anyone tell wont survive ill fine ill fine ill fine ill fine ill fine point finger like gun aint sweet someone take last breath mend fall cause lie believe doubt mind last damn thing hold close wont let anyone wrong tell whats right dream believe doubt mind wild wild world living wont let anyone wrong tell whats right ill fine ill fine ill fine wont let anyone tell wont survive wont let anyone tell aint fine,1692
